CodSite,lat,long,abundance,habitat,spp
area4,-28.733333,-49.75,65,Montane Dense Ombrophilous Atlantic Forest ,Cabralea canjerana
area5,-22.616667,-43.883333,2,Montane Seasonal Atlantic Forest ,Cabralea canjerana
area7,-7.633333,-35.5,4,Montane Dense Ombrophilous Atlantic Forest ,Cabralea canjerana
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Cabralea canjerana
area11,-21.976389,-43.878889,10,Montane Cloud Atlantic Forest,Cabralea canjerana
area9,-8.032611,-35.192125,59,Lowlands Seasonal Atlantic Forest ,Caesalpinia echinata
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Calyptranthes clusiifolia
area12,-27.816111,-50.324167,9,Mixed Ombrophilous Atlantic Forest,Calyptranthes concinna
area4,-28.733333,-49.75,12,Montane Dense Ombrophilous Atlantic Forest ,Calyptranthes grandifolia
area11,-21.976389,-43.878889,1,Montane Cloud Atlantic Forest,Calyptranthes grandifolia
area2,-22.528333,-50.715556,3,Montane Dense Ombrophilous Atlantic Forest ,Calyptranthes lucida
area9,-8.032611,-35.192125,1,Lowlands Seasonal Atlantic Forest ,Calyptranthes polyantha
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Calyptranthes widgreniana
area7,-7.633333,-35.5,4,Montane Dense Ombrophilous Atlantic Forest ,Campomanesia eugenioides
area8,-20.673889,-40.393889,6,Submontane Dense Ombrophilous Atlantic Forest ,Campomanesia guaviroba
area8,-20.673889,-40.393889,29,Submontane Dense Ombrophilous Atlantic Forest ,Campomanesia guazumifolia
area4,-28.733333,-49.75,6,Montane Dense Ombrophilous Atlantic Forest ,Campomanesia xanthocarpa
area12,-27.816111,-50.324167,55,Mixed Ombrophilous Atlantic Forest,Campomanesia xanthocarpa
area8,-20.673889,-40.393889,17,Submontane Dense Ombrophilous Atlantic Forest ,Capparis flexuosa
area10,-21.999167,-43.890833,1,Montane Dense Ombrophilous Atlantic Forest ,Capsicodendron dinisii
area1,-20.798333,-41.292778,4,Submontane Seasonal Atlantic Forest,Cariniana legalis
area2,-22.528333,-50.715556,3,Montane Dense Ombrophilous Atlantic Forest ,Cariniana legalis
area13,-8.016667,-35.174167,1,Lowlands Dense Ombrophilous Atlantic Forest ,Carpotroche brasiliensis
area3,-22.7222082,-42.628058,12,Submontane Dense Ombrophilous Atlantic Forest ,Casearia arborea
area6,-19.616667,-43.4,3,Montane Seasonal Atlantic Forest ,Casearia arborea
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Casearia arborea
area6,-19.616667,-43.4,4,Montane Seasonal Atlantic Forest ,Casearia decandra
area11,-21.976389,-43.878889,1,Montane Cloud Atlantic Forest,Casearia decandra
area12,-27.816111,-50.324167,74,Mixed Ombrophilous Atlantic Forest,Casearia decandra
area7,-7.633333,-35.5,5,Montane Dense Ombrophilous Atlantic Forest ,Casearia javitensis
area13,-8.016667,-35.174167,9,Lowlands Dense Ombrophilous Atlantic Forest ,Casearia javitensis
area12,-27.816111,-50.324167,10,Mixed Ombrophilous Atlantic Forest,Casearia obliqua
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Casearia pauciflora
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Casearia selloana
area3,-22.7222082,-42.628058,2,Submontane Dense Ombrophilous Atlantic Forest ,Casearia sylvestris
area4,-28.733333,-49.75,37,Montane Dense Ombrophilous Atlantic Forest ,Casearia sylvestris
area5,-22.616667,-43.883333,2,Montane Seasonal Atlantic Forest ,Casearia sylvestris
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Casearia sylvestris
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Casearia sylvestris
area11,-21.976389,-43.878889,1,Montane Cloud Atlantic Forest,Casearia sylvestris
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Casearia ulmifolia
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Casearia ulmifolia
area8,-20.673889,-40.393889,14,Submontane Dense Ombrophilous Atlantic Forest ,Cathedra rubricaulis
area4,-28.733333,-49.75,4,Montane Dense Ombrophilous Atlantic Forest ,Cecropia glaziovii
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Cecropia glaziovii
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Cecropia hololeuca
area11,-21.976389,-43.878889,4,Montane Cloud Atlantic Forest,Cecropia hololeuca
area13,-8.016667,-35.174167,51,Lowlands Dense Ombrophilous Atlantic Forest ,Cecropia pachystachya
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Cedrela fissilis
area4,-28.733333,-49.75,12,Montane Dense Ombrophilous Atlantic Forest ,Cedrela fissilis
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Cedrela odorata
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Cedrela odorata
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Cedrela odorata
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Ceiba speciosa
area12,-27.816111,-50.324167,6,Mixed Ombrophilous Atlantic Forest,Celtis brasiliensis
area3,-22.7222082,-42.628058,25,Submontane Dense Ombrophilous Atlantic Forest ,Chamaecrista ensiformis
area9,-8.032611,-35.192125,156,Lowlands Seasonal Atlantic Forest ,Chamaecrista ensiformis
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Cheiloclinium cognatum
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Cheiloclinium cognatum
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Chlorophora tinctoria
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Chomelia brasiliana
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Chomelia sericea
area11,-21.976389,-43.878889,7,Montane Cloud Atlantic Forest,Chomelia sericea
area9,-8.032611,-35.192125,1,Lowlands Seasonal Atlantic Forest ,Christiana africana
area10,-21.999167,-43.890833,6,Montane Dense Ombrophilous Atlantic Forest ,Chrysochlamys saldanhae
area2,-22.528333,-50.715556,32,Montane Dense Ombrophilous Atlantic Forest ,Chrysophyllum flexuosum
area3,-22.7222082,-42.628058,3,Submontane Dense Ombrophilous Atlantic Forest ,Chrysophyllum flexuosum
area10,-21.999167,-43.890833,1,Montane Dense Ombrophilous Atlantic Forest ,Chrysophyllum gonocarpum
area4,-28.733333,-49.75,10,Montane Dense Ombrophilous Atlantic Forest ,Chrysophyllum inornatum
area8,-20.673889,-40.393889,5,Submontane Dense Ombrophilous Atlantic Forest ,Chrysophyllum januarensis
area1,-20.798333,-41.292778,67,Submontane Seasonal Atlantic Forest,Chrysophyllum lucentifolium
